No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
6,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,4,NC State
19,Tony Campbell,SF,6-7,215,"May 7, 1962",us US,9,Ohio State
43,Terry Davis,PF,6-9,225,"June 17, 1967",us US,4,Virginia Union University
40,Greg Dreiling,C,7-1,250,"November 7, 1962",us US,7,"Wichita State, Kansas"
12,Derek Harper,PG,6-4,185,"October 13, 1961",us US,10,Illinois
30,Lucious Harris,SG,6-5,190,"December 18, 1970",us US,R,Cal State Long Beach
35,Donald Hodge,C,7-0,230,"February 25, 1969",us US,2,Temple
24,Jim Jackson,SG,6-6,220,"October 14, 1970",us US,1,Ohio State
54,Popeye Jones,PF,6-8,250,"June 17, 1970",us US,R,Murray State
23,Tim Legler,SG,6-4,200,"December 26, 1966",us US,3,La Salle
21,Fat Lever,PG,6-3,170,"August 18, 1960",us US,10,Arizona State
32,Jamal Mashburn,SF,6-8,240,"November 29, 1972",us US,R,Kentucky
50,Darren Morningstar,C,6-10,235,"April 22, 1969",us US,R,"United States Naval Academy, Pitt"
45,Sean Rooks,C,6-10,250,"September 9, 1969",us US,1,Arizona
34,Doug Smith,PF,6-10,220,"September 17, 1969",us US,2,Missouri
52,Randy White,PF,6-8,240,"November 4, 1967",us US,4,Louisiana Tech
20,Morlon Wiley,PG,6-4,185,"September 24, 1966",us US,5,Cal State Long Beach
44,Lorenzo Williams,PF,6-9,200,"July 15, 1969",us US,1,Stetson University
