No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",us US,5,LSU
8,Rastko Cvetković,C,7-1,260,"June 22, 1970",rs RS,R,
3,Dale Ellis,SF,6-7,205,"August 6, 1960",us US,12,Tennessee
20,LaPhonso Ellis,SF,6-8,240,"May 5, 1970",us US,3,Notre Dame
50,Matt Fish,C,6-11,235,"November 18, 1969",us US,1,UNC Wilmington
9,Greg Grant,PG,5-7,140,"August 29, 1966",us US,5,Trenton State University
21,Tom Hammonds,PF,6-9,215,"March 27, 1967",us US,6,Georgia Tech
7,Don MacLean,SF,6-10,235,"January 16, 1970",us US,3,UCLA
24,Antonio McDyess,PF,6-9,220,"September 7, 1974",us US,R,Alabama
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,4,Georgetown
11,Doug Overton,PG,6-3,190,"August 3, 1969",us US,3,La Salle
5,Jalen Rose,SG,6-8,210,"January 30, 1973",us US,1,Michigan
35,Reggie Slater,PF,6-7,215,"August 27, 1970",us US,1,Wyoming
27,Elmore Spencer,C,7-0,270,"December 6, 1969",us US,3,"Georgia, UNLV"
23,Bryant Stith,SG,6-5,208,"December 10, 1970",us US,3,Virginia
34,Reggie Williams,SF,6-7,190,"March 5, 1964",us US,8,Georgetown
10,Randy Woods,PG,5-10,185,"September 23, 1970",us US,3,La Salle
