No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4,Vincent Askew,SG,6-6,210,"February 28, 1966",us US,1,Memphis
20,Mario Elie,SF,6-5,210,"November 26, 1963",us US,R,American International College
10,Tim Hardaway,PG,6-0,175,"September 1, 1966",us US,1,Texas-El Paso
22,Rod Higgins,SF,6-7,200,"January 31, 1960",us US,8,Fresno State
32,Tyrone Hill,PF,6-9,240,"March 19, 1968",us US,R,Xavier
51,Les Jepsen,C,7-0,237,"June 24, 1967",us US,R,Iowa
33,Steve Johnson,C,6-10,235,"November 3, 1957",us US,9,Oregon State
5,Bart Kofoed,SG,6-4,210,"March 24, 1964",us US,2,"Hastings College, University of Nebraska at Kearney"
53,Alton Lister,C,7-0,240,"October 1, 1958",us US,9,Arizona State
13,Šarūnas Marčiulionis,SG,6-5,200,"June 13, 1964",lt LT,1,
44,Paul Mokeski,C,7-0,250,"January 3, 1957",us US,11,Kansas
17,Chris Mullin,SF,6-7,215,"July 30, 1963",us US,5,St. John's
43,Jim Petersen,C,6-10,235,"February 22, 1962",us US,6,Minnesota
2,Kevin Pritchard,PG,6-3,180,"July 17, 1967",us US,R,Kansas
23,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,2,"Moberly Area Community College, Kansas State"
3,Larry Robinson,SG,6-3,180,"January 11, 1968",us US,R,Centenary (LA)
52,Mike Smrek,C,7-0,250,"August 31, 1962",ca CA,5,Canisius
"3, 34",Tom Tolbert,PF,6-7,235,"October 16, 1965",us US,2,"University of California, Irvine, Arizona"
