No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4.0,Jalen Green,SG,6-4,178,"February 9, 2002",us US,3,
28.0,Alperen Şengün,C,6-11,235,"July 25, 2002",tr TR,3,
9.0,Dillon Brooks,SF,6-6,225,"January 22, 1996",ca CA,7,Oregon
1.0,Amen Thompson,SF,6-7,209,"January 30, 2003",us US,1,
5.0,Fred VanVleet,PG,6-0,197,"February 25, 1994",us US,8,Wichita State
0.0,Aaron Holiday,PG,6-0,185,"September 30, 1996",us US,6,UCLA
12.0,Steven Adams,C,6-11,265,"July 20, 1993",nz NZ,10,Pitt
10.0,Jabari Smith Jr.,PF,6-11,220,"May 13, 2003",us US,2,Auburn
17.0,Tari Eason,PF,6-8,216,"May 10, 2001",us US,2,"Cincinnati, LSU"
8.0,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",us US,4,Ohio State
15.0,Reed Sheppard,PG,6-2,185,"June 24, 2004",us US,R,Kentucky
7.0,Cam Whitmore,SF,6-7,232,"July 8, 2004",us US,1,Villanova
2.0,Jock Landale,C,6-11,256,"October 25, 1995",au AU,3,Saint Mary's
32.0,Jeff Green,PF,6-8,235,"August 28, 1986",us US,16,Georgetown
19.0,Jeenathan Williams,SG,6-5,205,"February 12, 1999",us US,2,Buffalo
58.0,Jack McVeigh (TW),PF,6-8,215,"June 27, 1996",au AU,R,Nebraska
3.0,N'Faly Dante (TW),C,6-11,230,"October 19, 2001",ml ML,R,Oregon
,David Roddy (TW),PF,6-4,255,"March 27, 2001",us US,2,Colorado State
