No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
51,Ken Bannister,PF,6-9,235,"April 1, 1960",us US,3,"Indiana State University, Saint Augustine's College"
0,Benoit Benjamin,C,7-0,250,"November 22, 1964",us US,4,Creighton
12,Torgeir Bryn,C,6-9,250,"August 8, 1964",no NO,R,Texas State University
3,Jay Edwards,SG,6-4,185,"January 3, 1969",us US,R,Indiana
11,Winston Garland,PG,6-2,170,"December 19, 1964",us US,2,Missouri State
22,Tom Garrick,SG,6-2,185,"July 7, 1966",us US,1,Rhode Island
23,Gary Grant,PG,6-3,185,"April 21, 1965",us US,1,Michigan
4,Ron Harper,SG,6-6,185,"January 20, 1964",us US,3,Miami University
20,Steve Harris,SG,6-5,195,"October 15, 1963",us US,4,Tulsa
12,Jim Les,PG,5-11,165,"August 18, 1963",us US,1,"Cleveland State University, Bradley"
5,Danny Manning,PF,6-10,230,"May 17, 1966",us US,1,Kansas
15,Jeff Martin,SG,6-5,195,"January 14, 1967",us US,R,Murray State
14,Carlton McKinney,SG,6-4,190,"October 21, 1964",us US,R,"Tulsa, SMU"
33,Ken Norman,SF,6-8,215,"September 5, 1964",us US,2,Illinois
44,David Rivers,PG,6-0,170,"January 20, 1965",us US,1,Notre Dame
54,Charles Smith,PF,6-10,230,"July 16, 1965",us US,1,Pitt
12,Andre Turner,PG,5-11,160,"December 13, 1964",us US,3,Memphis
34,Reggie Williams,SF,6-7,190,"March 5, 1964",us US,2,Georgetown
24,Joe Wolf,C,6-11,230,"December 17, 1964",us US,2,UNC
42,Michael Young,SF,6-7,220,"January 2, 1961",us US,2,Houston
