No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
24,Steve Bucknall,SG,6-6,215,"March 17, 1966",gb GB,R,UNC
21,Michael Cooper,SG,6-7,170,"April 15, 1956",us US,11,New Mexico
12,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,R,
10,Larry Drew,PG,6-1,170,"April 2, 1958",us US,8,Missouri
45,A.C. Green,PF,6-9,220,"October 4, 1963",us US,4,Oregon State
55,Mike Higgins,SF,6-9,220,"February 17, 1967",us US,R,University of Northern Colorado
32,Magic Johnson,PG,6-9,215,"August 14, 1959",us US,10,Michigan State
49,Mel McCants,SF,6-8,240,"August 19, 1967",us US,R,Purdue
31,Mark McNamara,C,6-11,235,"June 8, 1959",us US,6,"Santa Clara, California"
55,Jawann Oldham,C,7-0,215,"July 4, 1957",us US,8,Seattle University
4,Byron Scott,SG,6-3,195,"March 28, 1961",us US,6,Arizona State
43,Mychal Thompson,C,6-10,226,"January 30, 1955",bs BS,10,Minnesota
3,Jay Vincent,SF,6-7,220,"June 10, 1959",us US,8,Michigan State
0,Orlando Woolridge,SF,6-9,215,"December 16, 1959",us US,8,Notre Dame
42,James Worthy,SF,6-9,225,"February 27, 1961",us US,7,UNC
