No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Jaylen Wells,SG,6-7,206,"August 26, 2003",us US,R,"Sonoma State University, Washington State"
1,Scotty Pippen Jr.,PG,6-1,185,"November 10, 2000",us US,2,Vanderbilt
13,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,6,Michigan State
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,5,"San Jose State, Gonzaga"
22,Desmond Bane,SG,6-5,215,"June 25, 1998",us US,4,TCU
10,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,7,Duke
14,Zach Edey,C,7-4,305,"May 14, 2002",ca CA,R,Purdue
30,Jay Huff,C,7-1,240,"August 25, 1998",us US,3,Virginia
7,Santi Aldama,PF,6-11,224,"January 10, 2001",es ES,3,Loyola (MD)
12,Ja Morant,PG,6-2,174,"August 10, 1999",us US,5,Murray State
46,John Konchar,SG,6-5,210,"March 22, 1996",us US,5,Purdue-Fort Wayne
45,GG Jackson II,PF,6-9,215,"December 17, 2004",us US,1,South Carolina
17,Yuki Kawamura (TW),PG,5-8,159,"May 2, 2001",jp JP,R,
5,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",us US,2,VCU
24,Cam Spencer (TW),SG,6-3,205,"April 6, 2000",us US,R,"Loyola (MD), Rutgers University, UConn"
8,Lamar Stevens,PF,6-6,230,"July 9, 1997",us US,4,Penn State
35,Marvin Bagley III,PF,6-10,235,"March 14, 1999",us US,6,Duke
2,Zyon Pullin (TW),SG,6-4,206,"March 3, 2001",us US,R,"University of California, Riverside, Florida"
