No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
43,Chris Carr,SG,6-5,207,"March 12, 1974",us US,2,Southern Illinois
17,Bill Curley,PF,6-9,220,"May 29, 1972",us US,1,Boston College
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,2,
24,Tom Gugliotta,SF,6-10,240,"December 19, 1969",us US,5,NC State
20,Tom Hammonds,PF,6-9,215,"March 27, 1967",us US,8,Georgia Tech
31,Reggie Jordan,SG,6-4,195,"January 26, 1968",us US,3,New Mexico State
3,Stephon Marbury,PG,6-2,180,"February 20, 1977",us US,1,Georgia Tech
42,Sam Mitchell,SF,6-6,210,"September 2, 1963",us US,8,Mercer University
44,Cherokee Parks,C,6-11,235,"October 11, 1972",us US,2,Duke
1,Anthony Peeler,SG,6-4,208,"November 25, 1969",us US,5,Missouri
30,Terry Porter,PG,6-3,195,"April 8, 1963",us US,12,University of Wisconsin-Stevens Point
53,Stanley Roberts,C,7-0,285,"February 7, 1970",us US,5,LSU
22,Clifford Rozier,C,6-11,245,"October 31, 1972",us US,3,"UNC, Louisville"
5,Doug West,SG,6-6,200,"May 27, 1967",us US,8,Villanova
32,DeJuan Wheat,PG,6-0,165,"October 14, 1973",us US,R,Louisville
4,Micheal Williams,PG,6-2,175,"July 23, 1966",us US,8,Baylor
