No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
21.0,Aaron Wiggins,SG,6-6,200,"January 2, 1999",us US,3,Maryland
2.0,Shai Gilgeous-Alexander,PG,6-6,200,"July 12, 1998",ca CA,6,Kentucky
11.0,Isaiah Joe,SG,6-5,181,"July 2, 1999",us US,4,Arkansas
5.0,Luguentz Dort,SF,6-4,220,"April 19, 1999",ca CA,5,Arizona State
8.0,Jalen Williams,SG,6-6,220,"April 14, 2001",us US,2,Santa Clara
22.0,Cason Wallace,SG,6-4,205,"November 7, 2003",us US,1,Kentucky
34.0,Kenrich Williams,PF,6-7,210,"December 2, 1994",us US,6,TCU
55.0,Isaiah Hartenstein,C,7-0,255,"May 5, 1998",us US,6,
9.0,Alex Caruso,SG,6-5,186,"February 28, 1994",us US,7,Texas A&M
3.0,Dillon Jones,SF,6-5,240,"October 29, 2001",us US,R,Weber State
6.0,Jaylin Williams,PF,6-8,250,"June 29, 2002",us US,2,Arkansas
13.0,Ousmane Dieng,C,6-10,222,"May 21, 2003",fr FR,2,
25.0,Ajay Mitchell,SG,6-5,200,"June 25, 2002",be BE,R,UC Santa Barbara
14.0,Adam Flagler (TW),SG,6-3,195,"December 1, 1999",us US,1,"Presbyterian College, Baylor"
7.0,Chet Holmgren,C,7-1,213,"May 1, 2002",us US,1,Gonzaga
15.0,Branden Carlson (TW),C,7-0,220,"June 14, 1999",us US,R,Utah
88.0,Alex Ducas (TW),SG,6-6,222,"December 11, 2000",au AU,R,Saint Mary's
,Nikola Topić,PG,6-6,201,"August 10, 2005",rs RS,R,
