No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Kenny Battle,SG,6-6,210,"October 10, 1964",us US,R,"Northern Illinois, Illinois"
24,Tom Chambers,PF,6-10,220,"June 21, 1959",us US,8,Utah
35,Armen Gilliam,PF,6-9,230,"May 28, 1964",us US,2,UNLV
10,Greg Grant,PG,5-7,140,"August 29, 1966",us US,R,Trenton State University
14,Jeff Hornacek,SG,6-4,190,"May 3, 1963",us US,3,Iowa State
8,Eddie Johnson,SF,6-7,215,"May 1, 1959",us US,8,Illinois
7,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,2,California
28,Andrew Lang,C,6-11,245,"June 28, 1966",us US,1,Arkansas
23,Tim Legler,SG,6-4,200,"December 26, 1966",us US,R,La Salle
9,Dan Majerle,SG,6-6,215,"September 9, 1965",us US,1,Central Michigan University
40,Mike McGee,SF,6-5,190,"July 29, 1959",us US,8,Michigan
32,Mike Morrison,SG,6-4,195,"August 16, 1967",us US,R,Loyola (MD)
34,Tim Perry,C,6-9,200,"June 4, 1965",us US,1,Temple
31,Kurt Rambis,PF,6-8,213,"February 25, 1958",us US,8,Santa Clara
41,Mark West,C,6-10,230,"November 5, 1960",us US,6,Old Dominion
21,Micheal Williams,PG,6-2,175,"July 23, 1966",us US,1,Baylor
