No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Mark Bryant,C,6-9,245,"April 25, 1965",us US,4,Seton Hall
22,Clyde Drexler,SG,6-7,210,"June 22, 1962",us US,9,Houston
0,Kevin Duckworth,C,7-0,275,"April 1, 1964",us US,6,Eastern Illinois University
17,Mario Elie,SF,6-5,210,"November 26, 1963",us US,2,American International College
4,Dave Johnson,SG,6-7,210,"November 16, 1970",us US,R,Syracuse
25,Jerome Kersey,SF,6-7,215,"June 26, 1962",us US,8,Longwood University
31,Tracy Murray,SF,6-7,225,"July 25, 1971",us US,R,UCLA
30,Terry Porter,PG,6-3,195,"April 8, 1963",us US,7,University of Wisconsin-Stevens Point
3,Clifford Robinson,PF,6-10,225,"December 16, 1966",us US,3,UConn
11,Delaney Rudd,PG,6-2,180,"November 8, 1962",us US,3,Wake Forest
54,Reggie Smith,C,6-10,240,"August 21, 1970",us US,R,TCU
1,Rod Strickland,SG,6-3,175,"July 11, 1966",us US,4,DePaul
52,Buck Williams,PF,6-8,215,"March 8, 1960",us US,11,Maryland
6,Joe Wolf,C,6-11,230,"December 17, 1964",us US,5,UNC
