No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
30,Alaa Abdelnaby,PF,6-10,240,"June 24, 1968",eg EG,4,Duke
3,Randy Brown,PG,6-2,190,"May 22, 1968",us US,3,"Houston, New Mexico State"
31,Duane Causwell,C,7-0,240,"May 31, 1968",us US,4,Temple
33,Brian Grant,PF,6-9,254,"March 5, 1972",us US,R,Xavier
7,Bobby Hurley,PG,6-0,165,"June 28, 1971",us US,1,Duke
20,Doug Lee,SG,6-5,200,"October 24, 1964",us US,2,"Texas A&M, Purdue"
5,Derrick Phelps,PG,6-4,181,"July 31, 1972",us US,R,UNC
0,Olden Polynice,C,6-11,220,"November 21, 1964",ht HT,7,Virginia
2,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,6,"Moberly Area Community College, Kansas State"
22,Lionel Simmons,SF,6-7,210,"November 14, 1968",us US,4,La Salle
34,Michael Smith,PF,6-8,230,"March 28, 1972",us US,R,Providence
9,Henry Turner,PF,6-7,200,"August 18, 1966",us US,1,Cal State Fullerton
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,9,"Midland College, NC State"
42,Walt Williams,SF,6-8,219,"April 16, 1970",us US,2,Maryland
21,Trevor Wilson,PF,6-7,210,"March 16, 1968",us US,2,UCLA
