team,year,win_rate
HOU,1990,41
HOU,1991,52
HOU,1992,42
HOU,1993,55
HOU,1994,58
HOU,1995,47
HOU,1996,48
HOU,1997,57
HOU,1998,41
HOU,1999,31
HOU,2000,34
HOU,2001,45
HOU,2002,28
HOU,2003,43
HOU,2004,45
HOU,2005,51
HOU,2006,34
HOU,2007,52
HOU,2008,55
HOU,2009,53
HOU,2010,42
HOU,2011,43
HOU,2012,34
HOU,2013,45
HOU,2014,54
HOU,2015,56
HOU,2016,41
HOU,2017,55
HOU,2018,65
HOU,2019,53
HOU,2020,44
HOU,2021,17
HOU,2022,20
HOU,2023,22
HOU,2024,41
HOU,2025,52
DEN,1990,43
DEN,1991,20
DEN,1992,24
DEN,1993,36
DEN,1994,42
DEN,1995,41
DEN,1996,35
DEN,1997,21
DEN,1998,11
DEN,1999,14
DEN,2000,35
DEN,2001,40
DEN,2002,27
DEN,2003,17
DEN,2004,43
DEN,2005,49
DEN,2006,44
DEN,2007,45
DEN,2008,50
DEN,2009,54
DEN,2010,53
DEN,2011,50
DEN,2012,38
DEN,2013,57
DEN,2014,36
DEN,2015,30
DEN,2016,33
DEN,2017,40
DEN,2018,46
DEN,2019,54
DEN,2020,46
DEN,2021,47
DEN,2022,48
DEN,2023,53
DEN,2024,57
DEN,2025,47
LAL,1990,63
LAL,1991,58
LAL,1992,43
LAL,1993,39
LAL,1994,33
LAL,1995,48
LAL,1996,53
LAL,1997,56
LAL,1998,61
LAL,1999,31
LAL,2000,67
LAL,2001,56
LAL,2002,58
LAL,2003,50
LAL,2004,56
LAL,2005,34
LAL,2006,45
LAL,2007,42
LAL,2008,57
LAL,2009,65
LAL,2011,57
LAL,2012,41
LAL,2014,27
LAL,2015,21
LAL,2016,17
LAL,2017,26
LAL,2018,35
LAL,2019,37
LAL,2020,52
LAL,2021,42
LAL,2022,33
LAL,2023,43
LAL,2024,47
LAL,2025,48
GSW,1990,37
GSW,1991,44
GSW,1992,55
GSW,1993,34
GSW,1994,50
GSW,1995,26
GSW,1996,36
GSW,1997,30
GSW,1998,19
GSW,1999,21
GSW,2000,19
GSW,2001,17
GSW,2002,21
GSW,2003,38
GSW,2004,37
GSW,2005,34
GSW,2006,34
GSW,2007,42
GSW,2008,48
GSW,2009,29
GSW,2010,26
GSW,2011,36
GSW,2012,23
GSW,2013,47
GSW,2014,51
GSW,2015,67
GSW,2016,73
GSW,2017,67
GSW,2018,58
GSW,2019,57
GSW,2020,15
GSW,2021,39
GSW,2022,53
GSW,2023,44
GSW,2024,46
GSW,2025,46
MIN,1990,22
MIN,1992,15
MIN,1993,19
MIN,1994,20
MIN,1995,21
MIN,1996,26
MIN,1997,40
MIN,1998,45
MIN,1999,25
MIN,2000,50
MIN,2001,47
MIN,2002,50
MIN,2003,51
MIN,2005,44
MIN,2006,33
MIN,2007,32
MIN,2008,22
MIN,2009,24
MIN,2010,15
MIN,2011,17
MIN,2012,26
MIN,2013,31
MIN,2014,40
MIN,2015,16
MIN,2016,29
MIN,2017,31
MIN,2018,47
MIN,2019,36
MIN,2020,19
MIN,2021,23
MIN,2022,46
MIN,2023,42
