team,year,win_game,normalized_win_rate
HOU,1990,41,0.5
HOU,1991,52,0.63
HOU,1992,42,0.51
HOU,1993,55,0.67
HOU,1994,58,0.71
HOU,1995,47,0.57
HOU,1996,48,0.59
HOU,1997,57,0.7
HOU,1998,41,0.5
HOU,1999,31,0.38
HOU,2000,34,0.41
HOU,2001,45,0.55
HOU,2002,28,0.34
HOU,2003,43,0.52
HOU,2004,45,0.55
HOU,2005,51,0.62
HOU,2006,34,0.41
HOU,2007,52,0.63
HOU,2008,55,0.67
HOU,2009,53,0.65
HOU,2010,42,0.51
HOU,2011,43,0.52
HOU,2012,34,0.41
HOU,2013,45,0.55
HOU,2014,54,0.66
HOU,2015,56,0.68
HOU,2016,41,0.5
HOU,2017,55,0.67
HOU,2018,65,0.79
HOU,2019,53,0.65
HOU,2020,44,0.54
HOU,2021,17,0.21
HOU,2022,20,0.24
HOU,2023,22,0.27
HOU,2024,41,0.5
HOU,2025,52,0.63
DEN,1990,43,0.52
DEN,1991,20,0.24
DEN,1992,24,0.29
DEN,1993,36,0.44
DEN,1994,42,0.51
DEN,1995,41,0.5
DEN,1996,35,0.43
DEN,1997,21,0.26
DEN,1998,11,0.13
DEN,1999,14,0.17
DEN,2000,35,0.43
DEN,2001,40,0.49
DEN,2002,27,0.33
DEN,2003,17,0.21
DEN,2004,43,0.52
DEN,2005,49,0.6
DEN,2006,44,0.54
DEN,2007,45,0.55
DEN,2008,50,0.61
DEN,2009,54,0.66
DEN,2010,53,0.65
DEN,2011,50,0.61
DEN,2012,38,0.46
DEN,2013,57,0.7
DEN,2014,36,0.44
DEN,2015,30,0.37
DEN,2016,33,0.4
DEN,2017,40,0.49
DEN,2018,46,0.56
DEN,2019,54,0.66
DEN,2020,46,0.56
DEN,2021,47,0.57
DEN,2022,48,0.59
DEN,2023,53,0.65
DEN,2024,57,0.7
DEN,2025,47,0.57
LAL,1990,63,0.77
LAL,1991,58,0.71
LAL,1992,43,0.52
LAL,1993,39,0.48
LAL,1994,33,0.4
LAL,1995,48,0.59
LAL,1996,53,0.65
LAL,1997,56,0.68
LAL,1998,61,0.74
LAL,1999,31,0.38
LAL,2000,67,0.82
LAL,2001,56,0.68
LAL,2002,58,0.71
LAL,2003,50,0.61
LAL,2004,56,0.68
LAL,2005,34,0.41
LAL,2006,45,0.55
LAL,2007,42,0.51
LAL,2008,57,0.7
LAL,2009,65,0.79
LAL,2011,57,0.7
LAL,2012,41,0.5
LAL,2014,27,0.33
LAL,2015,21,0.26
LAL,2016,17,0.21
LAL,2017,26,0.32
LAL,2018,35,0.43
LAL,2019,37,0.45
LAL,2020,52,0.63
LAL,2021,42,0.51
LAL,2022,33,0.4
LAL,2023,43,0.52
LAL,2024,47,0.57
LAL,2025,48,0.59
GSW,1990,37,0.45
GSW,1991,44,0.54
GSW,1992,55,0.67
GSW,1993,34,0.41
GSW,1994,50,0.61
GSW,1995,26,0.32
GSW,1996,36,0.44
GSW,1997,30,0.37
GSW,1998,19,0.23
GSW,1999,21,0.26
GSW,2000,19,0.23
GSW,2001,17,0.21
GSW,2002,21,0.26
GSW,2003,38,0.46
GSW,2004,37,0.45
GSW,2005,34,0.41
GSW,2006,34,0.41
GSW,2007,42,0.51
GSW,2008,48,0.59
GSW,2009,29,0.35
GSW,2010,26,0.32
GSW,2011,36,0.44
GSW,2012,23,0.28
GSW,2013,47,0.57
GSW,2014,51,0.62
GSW,2015,67,0.82
GSW,2016,73,0.89
GSW,2017,67,0.82
GSW,2018,58,0.71
GSW,2019,57,0.7
GSW,2020,15,0.18
GSW,2021,39,0.48
GSW,2022,53,0.65
GSW,2023,44,0.54
GSW,2024,46,0.56
GSW,2025,46,0.56
MIN,1990,22,0.27
MIN,1992,15,0.18
MIN,1993,19,0.23
MIN,1994,20,0.24
MIN,1995,21,0.26
MIN,1996,26,0.32
MIN,1997,40,0.49
MIN,1998,45,0.55
MIN,1999,25,0.3
MIN,2000,50,0.61
MIN,2001,47,0.57
MIN,2002,50,0.61
MIN,2003,51,0.62
MIN,2005,44,0.54
MIN,2006,33,0.4
MIN,2007,32,0.39
MIN,2008,22,0.27
MIN,2009,24,0.29
MIN,2010,15,0.18
MIN,2011,17,0.21
MIN,2012,26,0.32
MIN,2013,31,0.38
MIN,2014,40,0.49
MIN,2015,16,0.2
MIN,2016,29,0.35
MIN,2017,31,0.38
MIN,2018,47,0.57
MIN,2019,36,0.44
